dekade,rata_rata_number_disaster,rata_rata_total_dollar,jumlah_bencana_alam,jumlah_dollar
1910-1919,2,60000000,24,600000000
1920-1929,4,72802143,51,1019230000
1930-1939,4,257461538,51,3347000000
1940-1949,5,200580000,73,3008700000
1950-1959,8,263424348,180,6058760000
1960-1969,12,485412974,461,18445693000
1970-1979,15,1035494154,767,53845696000
1980-1989,26,3116122407,1531,183851222000
1990-1999,34,9325727080,2539,699429531000
2000-2009,54,12932069884,3745,892312822000
2010-2019,44,20208679463,2934,1353981524000
1900-1909,4,217791667,24,1306750000
