entity,year,number_disaster,total_dollar
All natural disasters,1900,5,30000000
All natural disasters,1903,8,480000000
All natural disasters,1906,17,650750000
All natural disasters,1907,5,30000000
All natural disasters,1908,4,116000000
All natural disasters,1911,5,20000000
All natural disasters,1912,7,35000000
All natural disasters,1913,5,200000000
All natural disasters,1914,6,20000000
All natural disasters,1915,7,121000000
All natural disasters,1917,6,50000000
All natural disasters,1918,7,129000000
All natural disasters,1919,4,25000000
All natural disasters,1920,7,20000000
All natural disasters,1922,6,8000000
All natural disasters,1923,12,610000000
All natural disasters,1925,6,45000000
All natural disasters,1926,15,104000000
All natural disasters,1927,12,102230000
All natural disasters,1928,17,75000000
All natural disasters,1929,6,55000000
All natural disasters,1930,14,40000000
All natural disasters,1931,12,1447500000
All natural disasters,1932,8,30000000
All natural disasters,1933,10,66500000
All natural disasters,1934,9,50000000
All natural disasters,1935,11,8000000
All natural disasters,1936,11,21000000
All natural disasters,1937,7,438000000
All natural disasters,1938,7,306000000
All natural disasters,1939,11,940000000
All natural disasters,1940,17,43000000
All natural disasters,1942,9,28000000
All natural disasters,1943,12,1000000000
All natural disasters,1944,12,100000000
All natural disasters,1945,12,480000000
All natural disasters,1946,15,25500000
All natural disasters,1947,12,130000000
All natural disasters,1948,23,1043000000
All natural disasters,1949,20,159200000
All natural disasters,1950,23,201000000
All natural disasters,1951,27,1528250000
All natural disasters,1952,24,152900000
All natural disasters,1953,34,984310000
All natural disasters,1954,33,887000000
All natural disasters,1955,30,877000000
All natural disasters,1956,36,25000000
All natural disasters,1957,29,175000000
All natural disasters,1958,23,530100000
All natural disasters,1959,33,698200000
All natural disasters,1960,40,1264041000
All natural disasters,1961,28,480400000
All natural disasters,1962,28,1529000000
All natural disasters,1963,41,1719090000
All natural disasters,1964,60,3120350000
All natural disasters,1965,61,2527618000
All natural disasters,1966,80,2868831000
All natural disasters,1967,70,1523826000
All natural disasters,1968,77,1022238000
All natural disasters,1969,62,2390299000
All natural disasters,1970,77,3076594000
All natural disasters,1971,61,1688589000
All natural disasters,1972,63,4090413000
All natural disasters,1973,60,2407043000
All natural disasters,1974,68,4064944000
All natural disasters,1975,63,3281365000
All natural disasters,1976,91,14240626000
All natural disasters,1977,121,10187668000
All natural disasters,1978,115,6265521000
All natural disasters,1979,120,4542933000
All natural disasters,1980,133,32870960000
All natural disasters,1981,138,13919519000
All natural disasters,1982,153,11466393000
All natural disasters,1983,205,16756964000
All natural disasters,1984,146,9004957000
All natural disasters,1985,165,17126100000
All natural disasters,1986,150,14117912000
All natural disasters,1987,191,14778065000
All natural disasters,1988,200,26383612000
All natural disasters,1989,172,27426740000
All natural disasters,1990,278,48629822000
All natural disasters,1991,228,38743461000
All natural disasters,1992,204,54998163000
All natural disasters,1993,260,50992889000
All natural disasters,1994,246,71133574000
All natural disasters,1995,248,154967039000
All natural disasters,1996,227,43327243000
All natural disasters,1997,261,40258446000
All natural disasters,1998,288,84131040000
All natural disasters,1999,337,112247854000
All natural disasters,2000,411,46586436000
All natural disasters,2001,376,27074439000
All natural disasters,2002,421,52078152000
All natural disasters,2003,360,69839150000
All natural disasters,2004,350,136378448000
All natural disasters,2005,432,214205351000
All natural disasters,2006,401,34104949000
All natural disasters,2007,414,74420257000
All natural disasters,2008,352,190849247000
All natural disasters,2009,344,46776393000
All natural disasters,2010,393,132194096000
All natural disasters,2011,334,364093168000
All natural disasters,2012,346,156692232000
All natural disasters,2013,332,119484189000
All natural disasters,2014,320,97769314000
All natural disasters,2015,380,84120138000
All natural disasters,2016,325,147781165000
All natural disasters,2017,276,144108620000
All natural disasters,2018,282,107771602000
All natural disasters,1909,11,217791667
All natural disasters,1901,2,217791667
All natural disasters,1902,9,217791667
All natural disasters,1910,15,60000000
All natural disasters,1916,2,60000000
All natural disasters,1924,4,72802143
All natural disasters,1921,2,72802143
All natural disasters,1941,5,200580000
All natural disasters,1904,2,217791667
All natural disasters,1905,4,217791667
