index,year,month,level of co2,seasonalized
10,1959,1,315.58,315.55
11,1959,2,316.48,315.86
12,1959,3,316.65,315.38
13,1959,4,317.72,315.41
14,1959,5,318.29,315.49
15,1959,6,318.15,316.03
16,1959,7,316.54,315.86
17,1959,8,314.8,316.06
18,1959,9,313.84,316.73
19,1959,10,313.33,316.33
20,1959,11,314.81,316.68
21,1959,12,315.58,316.35
22,1960,1,316.43,316.4
23,1960,2,316.98,316.36
24,1960,3,317.58,316.28
25,1960,4,319.03,316.7
26,1960,5,320.04,317.22
27,1960,6,319.59,317.47
28,1960,7,318.18,317.52
29,1960,8,315.9,317.19
30,1960,9,314.17,317.08
31,1960,10,313.83,316.83
32,1960,11,315.0,316.88
33,1960,12,316.19,316.96
34,1961,1,316.89,316.86
35,1961,2,317.7,317.08
36,1961,3,318.54,317.26
37,1961,4,319.48,317.16
38,1961,5,320.58,317.76
39,1961,6,319.77,317.63
40,1961,7,318.57,317.88
41,1961,8,316.79,318.06
42,1961,9,314.99,317.9
43,1961,10,315.31,318.32
44,1961,11,316.1,317.99
45,1961,12,317.01,317.79
46,1962,1,317.94,317.91
47,1962,2,318.55,317.92
48,1962,3,319.68,318.39
49,1962,4,320.57,318.24
50,1962,5,321.02,318.18
51,1962,6,320.62,318.47
52,1962,7,319.61,318.92
53,1962,8,317.4,318.68
54,1962,9,316.25,319.17
55,1962,10,315.42,318.45
56,1962,11,316.69,318.58
57,1962,12,317.7,318.47
58,1963,1,318.74,318.7
59,1963,2,319.07,318.44
60,1963,3,319.86,318.57
61,1963,4,321.38,319.05
62,1963,5,322.25,319.4
63,1963,6,321.48,319.32
64,1963,7,319.74,319.05
65,1963,8,317.77,319.05
66,1963,9,316.21,319.14
67,1963,10,315.99,319.02
68,1963,11,317.07,318.97
69,1963,12,318.35,319.13
70,1964,1,319.57,319.54
71,1964,2,320.01,319.37
72,1964,3,320.74,319.41
73,1964,4,321.84,319.45
74,1964,5,322.26,319.4
75,1964,6,321.89,319.75
76,1964,7,320.44,319.77
77,1964,8,318.69,320.0
78,1964,9,316.7,319.66
79,1964,10,316.87,319.91
80,1964,11,317.68,319.58
81,1964,12,318.71,319.49
82,1965,1,319.44,319.4
83,1965,2,320.44,319.81
84,1965,3,320.89,319.59
85,1965,4,322.14,319.78
86,1965,5,322.17,319.3
87,1965,6,321.87,319.7
88,1965,7,321.21,320.51
89,1965,8,318.87,320.15
90,1965,9,317.81,320.77
91,1965,10,317.3,320.36
92,1965,11,318.87,320.78
93,1965,12,319.42,320.2
94,1966,1,320.62,320.59
95,1966,2,321.6,320.96
96,1966,3,322.39,321.08
97,1966,4,323.7,321.34
98,1966,5,324.08,321.2
99,1966,6,323.75,321.57
100,1966,7,322.38,321.68
101,1966,8,320.36,321.65
102,1966,9,318.64,321.6
103,1966,10,318.1,321.17
104,1966,11,319.78,321.7
105,1966,12,321.03,321.81
106,1967,1,322.33,322.29
107,1967,2,322.5,321.86
108,1967,3,323.04,321.73
109,1967,4,324.42,322.04
110,1967,5,325.0,322.12
111,1967,6,324.09,321.91
112,1967,7,322.54,321.84
113,1967,8,320.92,322.21
114,1967,9,319.25,322.23
115,1967,10,319.39,322.47
116,1967,11,320.73,322.65
117,1967,12,321.96,322.75
118,1968,1,322.57,322.54
119,1968,2,323.15,322.51
120,1968,3,323.89,322.55
121,1968,4,325.02,322.62
122,1968,5,325.57,322.68
123,1968,6,325.36,323.19
124,1968,7,324.14,323.46
125,1968,8,322.11,323.43
126,1968,9,320.33,323.32
127,1968,10,320.25,323.33
128,1968,11,321.32,323.25
129,1968,12,322.89,323.69
130,1969,1,324.0,323.97
131,1969,2,324.42,323.77
132,1969,3,325.63,324.31
133,1969,4,326.66,324.27
134,1969,5,327.38,324.48
135,1969,6,326.71,324.51
136,1969,7,325.88,325.17
137,1969,8,323.66,324.97
138,1969,9,322.38,325.37
139,1969,10,321.78,324.88
140,1969,11,322.86,324.79
141,1969,12,324.12,324.91
142,1970,1,325.06,325.03
143,1970,2,325.98,325.34
144,1970,3,326.93,325.61
145,1970,4,328.13,325.74
146,1970,5,328.08,325.16
147,1970,6,327.67,325.46
148,1970,7,326.34,325.63
149,1970,8,324.69,325.99
150,1970,9,323.1,326.1
151,1970,10,323.06,326.18
152,1970,11,324.01,325.95
153,1970,12,325.13,325.93
154,1971,1,326.17,326.14
155,1971,2,326.68,326.03
156,1971,3,327.17,325.85
157,1971,4,327.79,325.38
158,1971,5,328.93,326.0
159,1971,6,328.57,326.36
160,1971,7,327.36,326.65
161,1971,8,325.43,326.74
162,1971,9,323.36,326.37
163,1971,10,323.56,326.69
164,1971,11,324.8,326.75
165,1971,12,326.01,326.82
166,1972,1,326.77,326.73
167,1972,2,327.63,326.98
168,1972,3,327.75,326.39
169,1972,4,329.72,327.29
170,1972,5,330.07,327.14
171,1972,6,329.09,326.88
172,1972,7,328.04,327.36
173,1972,8,326.32,327.67
174,1972,9,324.84,327.87
175,1972,10,325.2,328.33
176,1972,11,326.5,328.45
177,1972,12,327.55,328.36
178,1973,1,328.55,328.51
179,1973,2,329.56,328.91
180,1973,3,330.3,328.96
181,1973,4,331.5,329.08
182,1973,5,332.48,329.54
183,1973,6,332.07,329.84
184,1973,7,330.87,330.15
185,1973,8,329.31,330.63
186,1973,9,327.51,330.55
187,1973,10,327.18,330.32
188,1973,11,328.16,330.13
189,1973,12,328.64,329.45
190,1974,1,329.35,329.32
191,1974,2,330.71,330.05
192,1974,3,331.48,330.14
193,1974,4,332.65,330.22
194,1974,5,333.18,330.21
195,1974,6,332.2,329.79
196,1974,7,331.07,330.21
197,1974,8,329.15,330.54
198,1974,9,327.33,330.44
199,1974,10,327.28,330.53
200,1974,11,328.31,330.5
201,1974,12,329.58,330.55
202,1975,1,330.73,330.84
203,1975,2,331.46,330.85
204,1975,3,331.94,330.37
205,1975,4,333.11,330.53
206,1975,5,333.95,330.98
207,1975,6,333.42,331.01
208,1975,7,331.97,331.12
209,1975,8,329.95,331.33
210,1975,9,328.5,331.6
211,1975,10,328.36,331.62
212,1975,11,329.38,331.57
213,1975,12,330.76,331.73
214,1976,1,331.56,331.67
215,1976,2,332.74,332.14
216,1976,3,333.36,331.78
217,1976,4,334.74,332.16
218,1976,5,334.72,331.75
219,1976,6,333.98,331.56
220,1976,7,333.08,332.23
221,1976,8,330.68,332.07
222,1976,9,328.96,332.07
223,1976,10,328.72,331.97
224,1976,11,330.16,332.35
225,1976,12,331.62,332.59
226,1977,1,332.68,332.77
227,1977,2,333.17,332.58
228,1977,3,334.96,333.4
229,1977,4,336.14,333.54
230,1977,5,336.93,333.99
231,1977,6,336.17,333.79
232,1977,7,334.89,334.01
233,1977,8,332.56,333.91
234,1977,9,331.29,334.36
235,1977,10,331.28,334.51
236,1977,11,332.46,334.68
237,1977,12,333.6,334.58
238,1978,1,334.94,335.01
239,1978,2,335.26,334.6
240,1978,3,336.66,335.0
241,1978,4,337.69,335.07
242,1978,5,338.02,335.08
243,1978,6,338.01,335.6
244,1978,7,336.5,335.65
245,1978,8,334.42,335.87
246,1978,9,332.36,335.51
247,1978,10,332.45,335.72
248,1978,11,333.76,335.99
249,1978,12,334.91,335.87
250,1979,1,336.14,336.22
251,1979,2,336.69,336.0
252,1979,3,338.27,336.56
253,1979,4,338.82,336.11
254,1979,5,339.24,336.24
255,1979,6,339.26,336.83
256,1979,7,337.54,336.69
257,1979,8,335.72,337.2
258,1979,9,333.97,337.19
259,1979,10,334.24,337.57
260,1979,11,335.32,337.59
261,1979,12,336.81,337.83
262,1980,1,337.9,338.13
263,1980,2,338.34,337.85
264,1980,3,340.07,338.51
265,1980,4,340.93,338.31
266,1980,5,341.45,338.4
267,1980,6,341.36,338.85
268,1980,7,339.45,338.56
269,1980,8,337.67,339.07
270,1980,9,336.25,339.38
271,1980,10,336.14,339.4
272,1980,11,337.3,339.46
273,1980,12,338.29,339.26
274,1981,1,339.29,339.42
275,1981,2,340.55,339.98
276,1981,3,341.63,340.08
277,1981,4,342.6,339.98
278,1981,5,343.04,339.97
279,1981,6,342.54,340.06
280,1981,7,340.82,339.92
281,1981,8,338.48,339.87
282,1981,9,336.95,340.17
283,1981,10,337.05,340.39
284,1981,11,338.58,340.75
285,1981,12,339.91,340.85
286,1982,1,340.93,341.09
287,1982,2,341.76,341.16
288,1982,3,342.77,341.18
289,1982,4,343.96,341.32
290,1982,5,344.77,341.67
291,1982,6,343.88,341.43
292,1982,7,342.42,341.61
293,1982,8,340.24,341.64
294,1982,9,338.38,341.56
295,1982,10,338.41,341.77
296,1982,11,339.44,341.59
297,1982,12,340.78,341.71
298,1983,1,341.57,341.75
299,1983,2,342.79,342.25
300,1983,3,343.37,341.85
301,1983,4,345.39,342.76
302,1983,5,346.14,342.97
303,1983,6,345.76,343.3
304,1983,7,344.32,343.56
305,1983,8,342.51,343.89
306,1983,9,340.46,343.59
307,1983,10,340.53,343.86
308,1983,11,341.79,343.92
309,1983,12,343.2,344.12
310,1984,1,344.21,344.32
311,1984,2,344.92,344.39
312,1984,3,345.68,344.26
313,1984,4,347.38,344.75
314,1984,5,347.78,344.59
315,1984,6,347.16,344.73
316,1984,7,345.79,345.02
317,1984,8,343.74,345.12
318,1984,9,341.59,344.76
319,1984,10,341.86,345.19
320,1984,11,343.31,345.41
321,1984,12,345.0,345.88
322,1985,1,345.48,345.59
323,1985,2,346.41,345.92
324,1985,3,347.91,346.56
325,1985,4,348.66,346.08
326,1985,5,349.28,346.12
327,1985,6,348.65,346.23
328,1985,7,346.9,346.08
329,1985,8,345.26,346.57
330,1985,9,343.47,346.59
331,1985,10,343.35,346.6
332,1985,11,344.73,346.82
333,1985,12,346.12,347.04
334,1986,1,346.78,346.82
335,1986,2,347.48,346.98
336,1986,3,348.25,346.93
337,1986,4,349.86,347.29
338,1986,5,350.52,347.41
339,1986,6,349.98,347.61
340,1986,7,348.25,347.43
341,1986,8,346.17,347.51
342,1986,9,345.48,348.62
343,1986,10,344.82,348.04
344,1986,11,346.22,348.28
345,1986,12,347.49,348.36
346,1987,1,348.73,348.66
347,1987,2,348.92,348.24
348,1987,3,349.81,348.39
349,1987,4,351.4,348.84
350,1987,5,352.15,349.09
351,1987,6,351.58,349.29
352,1987,7,350.21,349.51
353,1987,8,348.2,349.65
354,1987,9,346.66,349.85
355,1987,10,346.72,349.96
356,1987,11,348.08,350.15
357,1987,12,349.28,350.14
358,1988,1,350.51,350.49
359,1988,2,351.7,351.0
360,1988,3,352.5,350.99
361,1988,4,353.67,351.03
362,1988,5,354.35,351.22
363,1988,6,353.88,351.55
364,1988,7,352.8,352.15
365,1988,8,350.49,352.01
366,1988,9,348.97,352.18
367,1988,10,349.37,352.62
368,1988,11,350.42,352.53
369,1988,12,351.62,352.52
370,1989,1,353.07,352.99
371,1989,2,353.43,352.69
372,1989,3,354.08,352.6
373,1989,4,355.72,353.07
374,1989,5,355.95,352.78
375,1989,6,355.44,353.06
376,1989,7,354.05,353.38
377,1989,8,351.84,353.43
378,1989,9,350.09,353.37
379,1989,10,350.33,353.57
380,1989,11,351.55,353.68
381,1989,12,352.91,353.84
382,1990,1,353.86,353.78
383,1990,2,355.1,354.37
384,1990,3,355.75,354.27
385,1990,4,356.38,353.76
386,1990,5,357.38,354.23
387,1990,6,356.39,354.02
388,1990,7,354.89,354.24
389,1990,8,353.06,354.68
390,1990,9,351.38,354.69
391,1990,10,351.69,354.94
392,1990,11,353.14,355.18
393,1990,12,354.41,355.26
394,1991,1,354.93,354.9
395,1991,2,355.82,355.11
396,1991,3,357.33,355.79
397,1991,4,358.77,356.13
398,1991,5,359.23,356.1
399,1991,6,358.23,355.88
400,1991,7,356.3,355.69
401,1991,8,353.97,355.59
402,1991,9,352.34,355.66
403,1991,10,352.43,355.69
404,1991,11,353.89,355.87
405,1991,12,355.21,356.02
406,1992,1,356.34,356.29
407,1992,2,357.21,356.47
408,1992,3,357.97,356.38
409,1992,4,359.22,356.51
410,1992,5,359.71,356.52
411,1992,6,359.44,357.07
412,1992,7,357.15,356.58
413,1992,8,354.99,356.67
414,1992,9,353.01,356.36
415,1992,10,353.41,356.72
416,1992,11,354.42,356.48
417,1992,12,355.68,356.5
418,1993,1,357.1,357.06
419,1993,2,357.42,356.54
420,1993,3,358.59,356.88
421,1993,4,359.39,356.71
422,1993,5,360.3,357.14
423,1993,6,359.64,357.24
424,1993,7,357.45,356.87
425,1993,8,355.76,357.44
426,1993,9,354.14,357.51
427,1993,10,354.23,357.61
428,1993,11,355.53,357.65
429,1993,12,357.03,357.92
430,1994,1,358.36,358.25
431,1994,2,359.04,358.21
432,1994,3,360.11,358.41
433,1994,4,361.36,358.59
434,1994,5,361.78,358.59
435,1994,6,360.94,358.57
436,1994,7,359.51,358.91
437,1994,8,357.59,359.29
438,1994,9,355.86,359.3
439,1994,10,356.21,359.63
440,1994,11,357.65,359.8
441,1994,12,359.1,359.96
442,1995,1,360.04,359.91
443,1995,2,361.0,360.18
444,1995,3,361.98,360.37
445,1995,4,363.44,360.76
446,1995,5,363.83,360.72
447,1995,6,363.33,360.98
448,1995,7,361.78,361.1
449,1995,8,359.33,360.93
450,1995,9,358.32,361.71
451,1995,10,358.14,361.52
452,1995,11,359.61,361.75
453,1995,12,360.82,361.67
454,1996,1,362.2,361.98
455,1996,2,363.36,362.47
456,1996,3,364.28,362.64
457,1996,4,364.69,361.99
458,1996,5,365.25,362.23
459,1996,6,365.06,362.82
460,1996,7,363.69,362.98
461,1996,8,361.55,363.13
462,1996,9,359.69,363.14
463,1996,10,359.72,363.12
464,1996,11,361.04,363.18
465,1996,12,362.39,363.23
466,1997,1,363.24,363.03
467,1997,2,364.21,363.4
468,1997,3,364.65,363.02
469,1997,4,366.48,363.82
470,1997,5,366.77,363.87
471,1997,6,365.73,363.56
472,1997,7,364.46,363.74
473,1997,8,362.4,363.98
474,1997,9,360.44,363.83
475,1997,10,360.98,364.28
476,1997,11,362.65,364.71
477,1997,12,364.51,365.28
478,1998,1,365.39,365.19
479,1998,2,366.1,365.29
480,1998,3,367.36,365.73
481,1998,4,368.79,366.17
482,1998,5,369.56,366.68
483,1998,6,369.13,366.95
484,1998,7,367.98,367.29
485,1998,8,366.1,367.69
486,1998,9,364.16,367.51
487,1998,10,364.54,367.82
488,1998,11,365.67,367.7
489,1998,12,367.3,368.05
490,1999,1,368.35,368.13
491,1999,2,369.28,368.46
492,1999,3,369.84,368.24
493,1999,4,371.15,368.62
494,1999,5,371.12,368.31
495,1999,6,370.46,368.29
496,1999,7,369.61,368.93
497,1999,8,367.06,368.63
498,1999,9,364.95,368.28
499,1999,10,365.52,368.8
500,1999,11,366.88,368.86
501,1999,12,368.26,368.93
502,2000,1,369.45,369.24
503,2000,2,369.71,368.99
504,2000,3,370.75,369.24
505,2000,4,371.98,369.44
506,2000,5,371.75,368.87
507,2000,6,371.87,369.66
