Provinsi,2014,2015,2016,2017,2018,2019,2020,2021,
, Hutan ,, Non Hutan ,, Jumlah , Hutan ,, Non Hutan ,, Jumlah , Hutan ,, Non Hutan ,, Jumlah ,Hutan,,Non Hutan,,Jumlah,Hutan,,Non Hutan,,Jumlah,Hutan,,Non Hutan,,Jumlah,Hutan,,Non Hutan,,Jumlah,Hutan,,Non Hutan,,Jumlah
, Luas Penutupan Lahan (Ribu Ha) , % , Luas Penutupan Lahan (Ribu Ha) , % ,, Luas Penutupan Lahan (Ribu Ha) , % , Luas Penutupan Lahan (Ribu Ha) , % ,, Luas Penutupan Lahan (Ribu Ha) , % , Luas Penutupan Lahan (Ribu Ha) , % ,, Luas Penutupan Lahan (Ribu Ha) ,%, Luas Penutupan Lahan (Ribu Ha) ,%,, Luas Penutupan Lahan (Ribu Ha) ,%, Luas Penutupan Lahan (Ribu Ha) ,%,, Luas Penutupan Lahan (Ribu Ha) ,%, Luas Penutupan Lahan (Ribu Ha) ,%,, Luas Penutupan Lahan (Ribu Ha) ,%, Luas Penutupan Lahan (Ribu Ha) ,%,, Luas Penutupan Lahan (Ribu Ha) ,%, Luas Penutupan Lahan (Ribu Ha) ,%,
ACEH,3 156.7,55.9,2 490.6,44.1,5 647.3,3 161.9,56,2 485.4,44,5 647.3,3 270.9,57.9,2 376.4,42.1,5 647.3,3 120.2,55.3,2 527.1,44.7,5 647.3,3 110.2,55.1,2 537.1,44.9,5 647.3,3 155.6,55.9,2 491.7,44.1,5 647.3,3 126.2,55.4,2 521.1,44.6,5 647.3,3 135.9,55.5,2 517.4,44.5,5 653.3
SUMATERA UTARA,1 826.9,25.7,5 275.1,74.3,7 102.0,1 759.9,24.8,5 342.1,75.2,7 102.0,1 813.1,25.5,5 288.9,74.5,7 102.0,1 785.9,25.1,5 316.1,74.9,7 102.0,1 778.4,25,5 323.6,75,7 102.0,1 853.4,26.1,5 248.6,73.9,7 102.0,1 899.5,26.7,5 202.5,73.3,7 102.0,1 885.1,26.7,5 186.5,73.3,7 071.6
SUMATERA BARAT,1 927.7,46.1,2 256.2,53.9,4 183.9,1 934.7,46.2,2 249.2,53.8,4 183.9,1 924.1,46,2 259.8,54,4 183.9,1 936.6,46.3,2 247.3,53.7,4 183.9,1 931.0,46.2,2 252.9,53.8,4 183.9,1 907.1,45.6,2 276.8,54.4,4 183.9,1 912.8,45.7,2 271.1,54.3,4 183.9,1 891.0,45.5,2 266.7,54.5,4 157.7
RIAU,2 562.3,28.8,6 320.6,71.2,8 882.8,2 350.0,26.5,6 532.9,73.5,8 882.8,2 617.6,29.5,6 265.2,70.5,8 882.8,2 304.3,25.9,6 578.6,74.1,8 882.8,2 260.5,25.4,6 622.3,74.6,8 882.8,2 459.2,27.7,6 423.6,72.3,8 882.8,2 665.7,30,6 217.1,70,8 882.8,2 580.9,29.2,6 259.4,70.8,8 840.3
JAMBI,1 358.2,28.1,3 474.1,71.9,4 832.3,1 341.3,27.8,3 491.1,72.2,4 832.3,1 385.6,28.7,3 446.8,71.3,4 832.3,1 283.4,26.6,3 549.0,73.4,4 832.3,1 274.2,26.4,3 558.2,73.6,4 832.3,1 253.2,25.9,3 579.2,74.1,4 832.3,1 345.3,27.8,3 487.0,72.2,4 832.3,1 328.5,27.4,3 526.8,72.6,4 855.3
SUMATERA SELATAN,1 523.6,17.7,7 103.3,82.3,8 626.9,1 200.6,13.9,7 426.3,86.1,8 626.9,1 536.4,17.8,7 090.5,82.2,8 626.9,1 144.4,13.3,7 482.5,86.7,8 626.9,1 141.0,13.2,7 485.9,86.8,8 626.9,1 445.0,16.8,7 181.9,83.2,8 626.9,1 549.8,18,7 077.1,82,8 626.9,1 506.8,17.5,7 099.9,82.5,8 606.7
BENGKULU,693,34.6,1 309.9,65.4,2 002.9,688.9,34.4,1 314.0,65.6,2 002.9,681.5,34,1 321.4,66,2 002.9,685.1,34.2,1 317.9,65.8,2 002.9,677.2,33.8,1 325.7,66.2,2 002.9,674.6,33.7,1 328.3,66.3,2 002.9,191.9,11.6,1 467.8,88.4,2 002.9,654.2,32.5,1 355.9,67.5,2 010.1
LAMPUNG,364.5,10.6,3 070.9,89.4,3 435.4,339.1,9.9,3 096.3,90.1,3 435.4,354.9,10.3,3 080.5,89.7,3 435.4,334.4,9.7,3 101.0,90.3,3 435.4,333.1,9.7,3 102.2,90.3,3 435.4,335.9,9.8,3 099.5,90.2,3 435.4,665,33.2,1 337.9,66.8,3 435.4,322.3,9.6,3 038.9,90.4,3 361.2
KEP. BANGKA BELITUNG,250.9,15.1,1 408.8,84.9,1 659.7,233.3,14.1,1 426.5,85.9,1 659.7,229.7,13.8,1 430.0,86.2,1 659.7,221.8,13.4,1 437.9,86.6,1 659.7,218.1,13.1,1 441.6,86.9,1 659.7,192.1,11.6,1 467.6,88.4,1 659.7,344.2,10,3 091.2,90,1 659.7,205,12.3,1 460.2,87.7,1 665.2
KEP. RIAU,282.6,34.6,534.4,65.4,817,245,30,572,70,817,268.7,32.9,548.3,67.1,817,268.8,32.9,548.2,67.1,817,269.1,32.9,547.9,67.1,817,271.6,33.2,545.4,66.8,817,284.1,34.8,532.9,65.2,817,286.8,35.2,526.9,64.8,813.7
DKI JAKARTA,0.3,0.5,65.1,99.5,65.3,0.3,0.5,65,99.5,65.3,0.3,0.5,65.1,99.5,65.3,0.3,0.5,65,99.5,65.3,0.3,0.5,65,99.5,65.3,0.3,0.5,65,99.5,65.3,152.9,16.3,786.3,83.7,65.3,1.1,1.7,65.4,98.3,66.5
JAWA BARAT,643.4,17.4,3 055.2,82.6,3 698.6,634.7,17.2,3 063.9,82.8,3 698.6,650,17.6,3 048.6,82.4,3 698.6,648.1,17.5,3 050.5,82.5,3 698.6,639.8,17.3,3 058.8,82.7,3 698.6,797.2,21.6,2 901.4,78.4,3 698.6,0.9,1.4,64.4,98.6,3 698.6,686.5,18.5,3 032.7,81.5,3 719.2
JAWA TENGAH,776.7,22.5,2 679.9,77.5,3 456.6,1 019.5,29.5,2 437.1,70.5,3 456.6,787.3,22.8,2 669.2,77.2,3 456.6,1 019.7,29.5,2 436.9,70.5,3 456.6,1 019.0,29.5,2 437.6,70.5,3 456.6,665.1,19.2,2 791.4,80.8,3 456.6,710.4,19.2,2 988.2,80.8,3 456.6,658.8,19.1,2 799.3,80.9,3 458.1
DI YOGYAKARTA,34.5,10.8,285,89.2,319.4,34.3,10.7,285.2,89.3,319.4,45.9,14.4,273.5,85.6,3 194.0,34.6,10.8,284.8,89.2,319.4,34,10.7,285.4,89.3,319.4,32.6,10.2,286.8,89.8,319.4,634.5,18.4,2 822.1,81.6,319.4,18.9,5.9,302.9,94.1,321.8
JAWA TIMUR,1 367.9,28.3,3 469.8,71.7,4 837.7,1 365.8,28.2,3 471.9,71.8,4 837.7,1 435.6,29.7,3 402.0,70.3,4 837.7,1 367.8,28.3,3 469.8,71.7,4 837.7,1 356.3,28,3 481.3,72,4 837.7,1 207.3,25,3 630.4,75,4 837.7,20.3,6.4,299.1,93.6,4 837.7,1 248.0,25.6,3 622.4,74.4,4 870.4
BANTEN,154.8,16.5,784.4,83.5,939.2,151.4,16.1,787.8,83.9,939.2,167.1,17.8,772.1,82.2,939.2,162.9,17.3,776.3,82.7,939.2,163.2,17.4,775.9,82.6,939.2,147.1,15.7,792.1,84.3,939.2,1 192.6,24.7,3 645.1,75.3,939.2,157.8,16.7,785.8,83.3,943.6
BALI,102.7,18.1,464.1,81.9,566.9,102.1,18,464.7,82,566.9,91.6,16.2,475.3,83.8,566.9,94.9,16.7,472,83.3,566.9,94.6,16.7,472.6,83.3,566.9,99.8,17.6,467,82.4,566.9,5 656.6,38.8,8 916.2,61.2,566.9,96,16.9,470.9,83.1,566.9
NUSA TENGGARA BARAT,842.4,42.5,1 137.7,57.5,1 980.2,791.2,40,1 188.9,60,1 980.2,920,46.5,1 060.2,53.5,1 980.2,793.4,40.1,1 186.8,59.9,1 980.2,783.2,39.6,1 196.9,60.4,1 980.2,878.6,44.4,1 101.6,55.6,1 980.2,948.5,25.5,2 765.4,74.5,1 980.2,878.5,43.9,1 124.3,56.1,2 002.8
NUSA TENGGARA TIMUR,1 245.2,26.4,3 477.4,73.6,4 722.5,1 967.0,41.7,2 755.5,58.3,4 722.5,1 760.8,37.3,2 961.8,62.7,4 722.5,1 977.2,41.9,2 745.3,58.1,4 722.5,1 957.2,41.4,2 765.4,58.6,4 722.5,1 719.2,36.4,3 003.4,63.6,4 722.5,7 459.3,48.9,7 806.9,51.1,4 722.5,1 717.7,36.3,3 014.4,63.7,4 732.1
KALIMANTAN BARAT,5 788.7,39.7,8 784.1,60.3,14 572.8,5 754.9,39.5,8 817.8,60.5,14 572.8,5 583.1,38.3,8 989.7,61.7,14 572.8,5 623.5,38.6,8 949.3,61.4,14 572.8,5 590.8,38.4,8 982.0,61.6,14 572.8,5 587.0,38.3,8 985.7,61.7,14 572.8,13 289.5,68.1,6 215.3,31.9,14 572.8,5 637.8,38.7,8 918.6,61.3,14 556.4
KALIMANTAN TENGAH,7 866.9,51.5,7 399.3,48.5,15 266.2,7 866.9,51.5,7 399.3,48.5,15 266.2,7 609.1,49.8,7 657.0,50.2,15 266.2,7 544.1,49.4,7 722.1,50.6,15 266.2,7 516.4,49.2,7 749.7,50.8,15 266.2,7 396.6,48.5,7 869.6,51.5,15 266.2,560,38.9,879.5,61.1,15 266.2,7 342.2,48.4,7 828.0,51.6,15 170.2
KALIMANTAN SELATAN,940.3,25.3,2 773.7,74.7,3 713.9,899.6,24.2,2 814.3,75.8,3 713.9,897,24.2,2 817.0,75.8,3 713.9,855.5,23,2 858.4,77,3 713.9,840.9,22.6,2 873.0,77.4,3 713.9,926.9,25,2 787.0,75,3 713.9,731.1,61,467.4,39,3 713.9,926,25.1,2 762.3,74.9,3 688.3
KALIMANTAN TIMUR,13 564.8,69.5,5 940.0,30.5,19 504.8,12 873.7,66,6 631.1,34,19 504.8,13 122.9,67.3,6 381.9,32.7,19 504.8,12 672.1,65,6 832.7,35,19 504.8,12 615.0,64.7,6 889.8,35.3,19 504.8,12 806.4,65.7,6 698.4,34.3,19 504.8,3 802.4,63,2 232.3,37,19 504.8,7 758.0,60.9,4 976.9,39.1,12 734.9
KALIMANTAN UTARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 778.2,84.2,1 083.3,15.8,6 861.5
SULAWESI UTARA,563.8,39.2,875.7,60.8,1 439.5,560.1,38.9,879.4,61.1,1 439.5,555.3,38.6,884.3,61.4,1 439.5,557.1,38.7,882.5,61.3,1 439.5,553.2,38.4,886.3,61.6,1 439.5,555.4,38.6,884.2,61.4,1 439.5,1 891.2,52.4,1 720.4,47.6,1 439.5,549.5,38.1,893.3,61.9,1 442.9
SULAWESI TENGAH,3 806.6,63.1,2 228.1,36.9,6 034.7,3 907.9,64.8,2 126.8,35.2,6 034.7,3 854.3,63.9,2 180.4,36.1,6 034.7,3 846.5,63.7,2 188.2,36.3,6 034.7,3 825.1,63.4,2 209.6,36.6,6 034.7,3 816.3,63.2,2 218.5,36.8,6 034.7,837.6,49.9,842.6,50.1,6 034.7,3 760.2,62.2,2 285.7,37.8,6 045.9
SULAWESI SELATAN,1 481.3,32.9,3 017.1,67.1,4 498.4,1 433.6,31.9,3 064.8,68.1,4 498.4,1 415.4,31.5,3 083.0,68.5,4 498.4,1 404.4,31.2,3 094.0,68.8,4 498.4,1 409.8,31.3,3 088.6,68.7,4 498.4,1 457.8,32.4,3 040.6,67.6,4 498.4,1 534.4,34.1,2 964.0,65.9,4 498.4,1 479.9,33.2,2 980.6,66.8,4 460.5
